	CORE	ACCESSORY	UNIQUE			CORE	ACCESSORY	UNIQUE
Amino acid metabolism	 12.5827814569536	 8.6442220200182	 13.1313131313131		Cellular Processes	 1.1352885525071	 7.55232029117379	 3.53535353535354
Biosynthesis of other secondary metabolites	 1.27719962157048	 1.27388535031847	 2.52525252525253		Environmental Information Processing	 9.46073793755913	 16.9244767970883	 15.6565656565657
Cancers	 0.851466414380322	 1.72884440400364	 2.52525252525253		Genetic Information Processing	 9.12961210974456	 3.00272975432211	 6.06060606060606
Carbohydrate metabolism	 13.7180700094607	 15.7415832575068	 12.6262626262626		Human Diseases	 4.82497634815516	 5.18653321201092	 9.5959595959596
Cardiovascular diseases	 0	 0	 0		Metabolism	 73.6518448438978	 65.8780709736124	 61.6161616161616
Cell growth and death	 0.662251655629139	 0.636942675159236	 1.01010101010101		Organismal Systems	 1.79754020813623	 1.45586897179254	 3.53535353535354
Cell motility	 0.0946073793755913	 5.82347588717016	 1.01010101010101
Cellular commiunity	 0	 0.181983621474067	 0
Circulatory system	 0.189214758751183	 0	 0.505050505050505
Development	 0	 0	 0
Digestive system	 0.0473036896877957	 0.0909918107370337	 0
Drug resistance	 1.41911069063387	 0.818926296633303	 3.03030303030303
Endocrine and metabolic diseases	 0.283822138126774	 0.0909918107370337	 0
Endocrine system	 0.946073793755913	 0.818926296633303	 1.51515151515152
Energy metabolism	 7.71050141911069	 7.55232029117379	 0.505050505050505
Environmental adaptation	 0.141911069063387	 0.454959053685168	 1.01010101010101
Excretory system	 0	 0	 0
Folding sorting and degradation	 2.1286660359508	 0.636942675159236	 2.52525252525253
Glycan biosynthesis and metabolism	 1.79754020813623	 0.545950864422202	 1.01010101010101
Immune diseases	 0.0946073793755913	 0	 0
Immune system	 0.141911069063387	 0	 0
Infectious diseases	 0.898770104068117	 2.36578707916288	 3.53535353535354
Lipid metabolism	 4.06811731315043	 5.45950864422202	 8.58585858585858
Membrane transport	 4.82497634815516	 9.4631483166515	 8.58585858585858
Metabolism of cofactors and vitamins	 6.85903500473037	 4.36760691537762	 3.53535353535354
Metabolism of other amino acids	 2.41248817407758	 1.63785259326661	 2.02020202020202
Metabolism of terpenoids and polyketides	 1.84484389782403	 3.91264786169245	 4.04040404040404
Nervous system	 0.33112582781457	 0.0909918107370337	 0
Neurodegenerative diseases	 0.993377483443709	 0.181983621474067	 0.505050505050505
Nucleotide metabolism	 5.01419110690634	 1.27388535031847	 3.03030303030303
Overview	 12.8192999053926	 9.28116469517743	 6.56565656565657
Replication and repair	 2.93282876064333	 2.00181983621474	 3.03030303030303
Sensory system	 0	 0	 0.505050505050505
Signal transduction	 4.63576158940397	 7.46132848043676	 7.07070707070707
Signaling molecules and interaction	 0	 0	 0
Substance dependence	 0.283822138126774	 0	 0
Transcription	 0.189214758751183	 0	 0
Translation	 3.87890255439924	 0.363967242948135	 0.505050505050505
Transport and catabolism	 0.378429517502365	 0.909918107370337	 1.51515151515152
Xenobiotics biodegradation and metabolism	 3.54777672658467	 6.18744313011829	 4.04040404040404

